sample_idx,num_tokens_generated,num_tokens_scored,num_green_tokens,watermarking_fraction,green_fraction,z_score,p_value,detected
152,22,7,7,0.3181818181818182,1.0,2.6457513110645903,0.00407548579675135,0
153,100,20,20,0.2,1.0,4.47213595499958,3.872108215522035e-06,1
154,85,21,21,0.24705882352941178,1.0,4.58257569495584,2.296416855876984e-06,1
155,64,6,6,0.09375,1.0,2.4494897427831783,0.007152939217714809,0
156,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
157,144,21,21,0.14583333333333334,1.0,4.58257569495584,2.296416855876984e-06,1
158,75,13,13,0.17333333333333334,1.0,3.6055512754639896,0.00015574548838369166,0
159,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
160,106,10,10,0.09433962264150944,1.0,3.162277660168379,0.000782701129001274,0
161,405,67,67,0.1654320987654321,1.0,8.18535277187245,1.3575356609712532e-16,1
162,3,2,2,0.6666666666666666,1.0,1.414213562373095,0.07864960352514258,0
163,56,6,6,0.10714285714285714,1.0,2.4494897427831783,0.007152939217714809,0
